학년도,년도,월,날짜,일정명
2010,2011,1,01.03 (월) ~ 01.04 (화),계절학기 접수
2010,2011,1,01.03 (월),신년 하례식 및 시무식(11:00)
2010,2011,1,01.05 (수) ~ 01.07 (금),전과/학점 및 학기포기신청(재학생)
2010,2011,1,01.06 (목) ~ 01.19 (수),계절학기 설강
2010,2011,1,01.21 (금),성적표/등록금고지서/복학안내문 발송
2010,2011,1,01.24 (월),"1학기 수강신청 : 1학년, 학사학위전공심화과정"
2010,2011,1,01.28 (금),졸업/진급/입학사정회(교무위원회) (10:00)
2010,2011,1,01.31 (월),정시모집 합격자 발표
2010,2011,2,02.02 (수) ~ 02.04 (금),설날연휴
2010,2011,2,02.07 (월) ~ 02.09 (수),"등록/휴학원서 접수(재학생, 복학생)"
2010,2011,2,02.07 (월) ~ 02.09 (수),신입생 최종 등록
2010,2011,2,02.10 (목) ~ 02.11 (금),복학신청
2010,2011,2,02.14 (월),신입생 전체 0T
2010,2011,2,02.15 (화) ~ 02.16 (수),"1학기 수강신청(재학생, 복학생) : 2학년, 3학년"
2010,2011,2,02.18 (금),제42회 졸업식(14:00)
2011,2011,3,03.01 (화),삼일절
2011,2011,3,03.02 (수),"개강, 입학식(11:00)"
2011,2011,3,03.09 (수) ~ 03.10 (목),수강신청 정정기간
2011,2011,3,03.14 (월) ~ 03.16 (수),조기졸업신청기간
2011,2011,3,03.31 (목),학기 개시 30일
2011,2011,4,04.20 (수) ~ 04.26 (화),중간고사
2011,2011,4,04.30 (토),학기 개시 30일()
2011,2011,5,05.05 (목),"어린이날, => 보강일 : 6/9(목)"
2011,2011,5,05.10 (화),"석가탄신일, => 보강일 : 6/8(수)"
2011,2011,5,05.20 (금),"개교기념일, => 보강일 : 6/10(금)"
2011,2011,5,05.23 (월) ~ 05.25 (수),3년제 학과 수업년한 연장신청
2011,2011,5,05.24 (화),1학기 수업일수 3/4 및 일반휴학 종료일
2011,2011,5,05.30 (월),학기 개시 90일
2011,2011,6,06.06 (월),"현충일, => 보강일 : 6/13(월)"
2011,2011,6,06.14 (화) ~ 06.20 (월),학기말고사
2011,2011,6,06.15 (수) ~ 06.27 (월),성적입력기간
2011,2011,6,06.21 (화) ~ 06.30 (목),강의평가
2011,2011,6,06.21 (화) ~ 08.31 (수),하계방학 및 현장실습 기간
2011,2011,6,06.28 (화) ~ 06.30 (목),성적열람 및 이의신청기간
2011,2011,6,06.30 (목),1학기 성적 확정일
2011,2011,7,07.04 (월) ~ 07.05 (화),계절학기 수강신청기간
2011,2011,7,07.04 (월) ~ 07.06 (수),전과/학점·학기포기 신청기간(재학생)
2011,2011,7,07.07 (목) ~ 07.20 (수),계절학기 설강기간
2011,2011,7,07.15 (금),성적표/등록금고지서/복학안내문 발송
2011,2011,8,08.08 (월) ~ 08.10 (수),"등록/휴학원서 접수기간(재학생, 복학생)"
2011,2011,8,08.11 (목) ~ 08.12 (금),복학원서접수기간
2011,2011,8,08.12 (금),후기졸업사정회(교무위원회) (오전 11시)
2011,2011,8,08.15 (월),광복절
2011,2011,8,08.17 (수) ~ 08.18 (목),"학기 수강신청기간(2, 3학년)"
2011,2011,8,08.19 (금),후기졸업일
2011,2011,8,08.22 (월) ~ 08.23 (화),"2학기 수강신청기간(1학년, 학사학위전공심화과정)"
2011,2011,9,09.01 (목),2학기 개강
2011,2011,9,09.08 (목) ~ 09.09 (금),수강신청 정정기간
2011,2011,9,09.08 (목) ~ 09.09 (금),수시 1차 모집 원서접수기간
2011,2011,9,09.12 (월) ~ 09.13 (화),"추석연휴, 12(월) => 보강일 : 12/8(목), 13(화) => 보강일 : 12/9(금)"
2011,2011,9,09.30 (금),학기 개시 30일
2011,2011,10,10.03 (월),"개천절, => 보강일 : 12/12"
2011,2011,10,10.11 (화) ~ 10.14 (금),제29회 학생졸업작품 전시회
2011,2011,10,10.14 (금),수시 1차 모집 합격자 발표
2011,2011,10,10.20 (목) ~ 10.26 (수),중간고사기간
2011,2011,10,10.31 (월) ~ 11.19 (토),수시 2차 모집 원서접수기간
2011,2011,11,11.14 (월) ~ 11.16 (수),실기교사 자격증 신청기간
2011,2011,11,11.23 (수),2학기 수업일수 3/4 및 일반휴학 종료일
2011,2011,11,11.29 (화),학기 개시 90일
